SM-G532M|https://www.gsmarena.com/samsung_galaxy_j2_prime-8424.php|Samsung Galaxy J2 Prime|5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)|540 x 960 pixels, 16:9 ratio (~220 ppi density)
SM-A107M|https://www.gsmarena.com/samsung_galaxy_a10s-9793.php|Samsung Galaxy A10s|6.2 inches, 95.9 cm2 (~80.7% screen-to-body ratio)|720 x 1520 pixels, 19:9 ratio (~271 ppi density)
SM-J260M|https://www.gsmarena.com/samsung_galaxy_j2_core-9255.php|Samsung Galaxy J2 Core|5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)|540 x 960 pixels, 16:9 ratio (~220 ppi density)
SM-A207M|https://www.gsmarena.com/samsung_galaxy_a20s-9852.php|Samsung Galaxy A20s|6.5 inches, 103.7 cm2 (~81.9% screen-to-body ratio)|720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)
DUB-LX3|https://www.gsmarena.com/huawei_y7_prime_(2019)-9531.php|Huawei Y7 Prime (2019)|6.26 inches, 97.8 cm2 (~80.0% screen-to-body ratio)|720 x 1520 pixels, 19:9 ratio (~269 ppi density)
SM-A013M|https://www.gsmarena.com/samsung_galaxy_a01_core-10314.php|Samsung Galaxy A01 Core|5.3 inches, 71.3 cm2 (~74.5% screen-to-body ratio)|720 x 1480 pixels, 18.5:9 ratio (~311 ppi density)
SM-G610M|https://www.gsmarena.com/samsung_galaxy_j7_prime-8314.php|Samsung Galaxy J7 Prime|5.5 inches, 83.4 cm2 (~73.3% screen-to-body ratio)|1080 x 1920 pixels, 16:9 ratio (~401 ppi density)
SM-A105M|https://www.gsmarena.com/samsung_galaxy_a10-9580.php|Samsung Galaxy A10|6.2 inches, 95.9 cm2 (~81.6% screen-to-body ratio)|720 x 1520 pixels, 19:9 ratio (~271 ppi density)
SM-A015M|https://www.gsmarena.com/samsung_galaxy_a01-9999.php|Samsung Galaxy A01|5.7 inches, 81.6 cm2 (~78.8% screen-to-body ratio)|720 x 1520 pixels, 19:9 ratio (~294 ppi density)
SM-G570M|https://www.gsmarena.com/samsung_galaxy_j5_prime-8342.php|Samsung Galaxy J5 Prime|5.0 inches, 68.9 cm2 (~69.4% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~294 ppi density)
SM-J400M|https://www.gsmarena.com/samsung_galaxy_j4-9204.php|Samsung Galaxy J4|5.5 inches, 83.4 cm2 (~71.2% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~267 ppi density)
SM-A205G|https://www.gsmarena.com/samsung_galaxy_a20-9640.php|Samsung Galaxy A20|6.4 inches, 100.5 cm2 (~85.0% screen-to-body ratio)|720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)
SM-J610G|https://www.gsmarena.com/samsung_galaxy_j6+-9334.php|Samsung Galaxy J6+|6.0 inches, 91.4 cm2 (~73.6% screen-to-body ratio)|720 x 1480 pixels, 18.5:9 ratio (~274 ppi density)
Moto E6 Play|https://www.gsmarena.com/motorola_moto_e6_play-9932.php|Motorola Moto E6 Play|5.5 inches, 77.0 cm2 (~74.1% screen-to-body ratio)|720 x 1440 pixels, 18:9 ratio (~295 ppi density)
SM-A315G|https://www.gsmarena.com/samsung_galaxy_a31-10149.php|Samsung Galaxy A31|6.4 inches, 98.9 cm2 (~84.9% screen-to-body ratio)|1080 x 2400 pixels, 20:9 ratio (~411 ppi density)
SM-J710MN|https://www.gsmarena.com/samsung_galaxy_j7_(2016)-7870.php|Samsung Galaxy J7 (2016)|5.5 inches, 83.4 cm2 (~72.3% screen-to-body ratio)|720 x 1280 pixels, 16:9 ratio (~267 ppi density)
